fold,model,accuracy,f1_macro,f1_cancer,f2_cancer,recall_cancer,precision_cancer,n_pseudo,n_pseudo_cancer,n_pseudo_normal,n_selected_clusters,purity_threshold,min_labeled_per_cluster,clustering_method
1,supervised_strong_only_cnn_cv,0.55,0.4357366771159875,0.6896551724137931,0.847457627118644,1.0,0.5263157894736842,0,0,0,0,,,
2,supervised_strong_only_cnn_cv,0.75,0.7333333333333334,0.8,0.9090909090909091,1.0,0.6666666666666666,0,0,0,0,,,
3,supervised_strong_only_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,0.8771929824561403,1.0,0.5882352941176471,0,0,0,0,,,
4,supervised_strong_only_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,0.8771929824561403,1.0,0.5882352941176471,0,0,0,0,,,
5,supervised_strong_only_cnn_cv,0.75,0.7333333333333334,0.8,0.9090909090909091,1.0,0.6666666666666666,0,0,0,0,,,
1,semi_supervised_kmeans_selective_cnn_cv,0.85,0.8465473145780051,0.8695652173913043,0.9433962264150944,1.0,0.7692307692307693,820,820,0,2,0.9,2.0,kmeans
2,semi_supervised_kmeans_selective_cnn_cv,0.7,0.6703296703296704,0.7692307692307693,0.8928571428571429,1.0,0.625,820,820,0,2,0.9,2.0,kmeans
3,semi_supervised_kmeans_selective_cnn_cv,0.85,0.849624060150376,0.8571428571428571,0.8823529411764706,0.9,0.8181818181818182,820,820,0,2,0.9,2.0,kmeans
4,semi_supervised_kmeans_selective_cnn_cv,0.9,0.898989898989899,0.9090909090909091,0.9615384615384616,1.0,0.8333333333333334,820,820,0,2,0.9,2.0,kmeans
5,semi_supervised_kmeans_selective_cnn_cv,0.9,0.9,0.9,0.9,0.9,0.9,820,820,0,2,0.9,2.0,kmeans
1,semi_supervised_dbscan_selective_cnn_cv,0.8,0.7916666666666667,0.8333333333333334,0.9259259259259259,1.0,0.7142857142857143,330,330,0,1,0.9,2.0,dbscan
2,semi_supervised_dbscan_selective_cnn_cv,0.9,0.9,0.9,0.9,0.9,0.9,325,325,0,1,0.9,2.0,dbscan
3,semi_supervised_dbscan_selective_cnn_cv,0.85,0.8465473145780051,0.8235294117647058,0.7446808510638298,0.7,1.0,331,331,0,1,0.9,2.0,dbscan
4,semi_supervised_dbscan_selective_cnn_cv,0.85,0.849624060150376,0.8571428571428571,0.8823529411764706,0.9,0.8181818181818182,333,333,0,1,0.9,2.0,dbscan
5,semi_supervised_dbscan_selective_cnn_cv,0.9,0.898989898989899,0.8888888888888888,0.8333333333333334,0.8,1.0,331,331,0,1,0.9,2.0,dbscan
