fold,model,accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,n_pseudo,n_pseudo_cancer,n_pseudo_normal,n_selected_clusters,purity_threshold,min_labeled_per_cluster,clustering_method
1,supervised_strong_only_cnn_cv,0.55,0.4357366771159875,0.6896551724137931,1.0,0.5263157894736842,0,0,0,0,,,
2,supervised_strong_only_cnn_cv,0.75,0.7333333333333334,0.8,1.0,0.6666666666666666,0,0,0,0,,,
3,supervised_strong_only_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,1.0,0.5882352941176471,0,0,0,0,,,
4,supervised_strong_only_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,1.0,0.5882352941176471,0,0,0,0,,,
5,supervised_strong_only_cnn_cv,0.75,0.7333333333333334,0.8,1.0,0.6666666666666666,0,0,0,0,,,
1,semi_supervised_kmeans_selective_cnn_cv,0.85,0.849624060150376,0.8421052631578947,0.8,0.8888888888888888,538,447,91,4,0.95,2.0,kmeans
2,semi_supervised_kmeans_selective_cnn_cv,0.9,0.9,0.9,0.9,0.9,479,479,0,3,0.95,2.0,kmeans
3,semi_supervised_kmeans_selective_cnn_cv,0.7,0.6875,0.75,0.9,0.6428571428571429,561,447,114,4,0.95,2.0,kmeans
4,semi_supervised_kmeans_selective_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,1.0,0.5882352941176471,743,619,124,5,0.95,2.0,kmeans
5,semi_supervised_kmeans_selective_cnn_cv,0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,691,499,192,5,0.95,2.0,kmeans
1,semi_supervised_dbscan_selective_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,1.0,0.5882352941176471,330,330,0,1,0.95,2.0,dbscan
2,semi_supervised_dbscan_selective_cnn_cv,0.85,0.8465473145780051,0.8695652173913043,1.0,0.7692307692307693,325,325,0,1,0.95,2.0,dbscan
3,semi_supervised_dbscan_selective_cnn_cv,0.65,0.6011396011396011,0.7407407407407407,1.0,0.5882352941176471,0,0,0,0,0.95,2.0,dbscan
4,semi_supervised_dbscan_selective_cnn_cv,0.6,0.5604395604395604,0.6923076923076923,0.9,0.5625,333,333,0,1,0.95,2.0,dbscan
5,semi_supervised_dbscan_selective_cnn_cv,0.8,0.8,0.8,0.8,0.8,331,331,0,1,0.95,2.0,dbscan
